sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
339,donor_1,LPS,2000,control,0,CXCL10,-0.0331438705
339,donor_1,LPS,2000,control,0,CXCL16,0.245755211
339,donor_1,LPS,2000,control,0,G-CSF,0.241068944
339,donor_1,LPS,2000,control,0,GM-CSF,0.0859000459
339,donor_1,LPS,2000,control,0,IFN gamma,0.863777936
339,donor_1,LPS,2000,control,0,IL-1 RA RN,0.277074158
339,donor_1,LPS,2000,control,0,IL-1 alpha,0.465334743
339,donor_1,LPS,2000,control,0,IL-1 beta,0.902751148
339,donor_1,LPS,2000,control,0,IL-12 p40,0.578778863
339,donor_1,LPS,2000,control,0,IL-6,1.00637829
339,donor_1,LPS,2000,control,0,MMP-1,0.264885783
339,donor_1,LPS,2000,control,0,TNF RII,0.102601804
339,donor_1,LPS,2000,control,0,TNF alpha,1.04368067
341,donor_1,LPS,2000,control,0,CCL1,0.540799737
341,donor_1,LPS,2000,control,0,CCL2,0.380497485
341,donor_1,LPS,2000,control,0,CCL22,0.300159723
341,donor_1,LPS,2000,control,0,CCL24,0.269860834
341,donor_1,LPS,2000,control,0,CCL5,0.642953873
341,donor_1,LPS,2000,control,0,CCL7,0.0294506084
341,donor_1,LPS,2000,control,0,CCL8,-0.114976607
341,donor_1,LPS,2000,control,0,CXCL1,0.642732203
341,donor_1,LPS,2000,control,0,CXCL10,-0.0001931265
341,donor_1,LPS,2000,control,0,CXCL16,0.247522131
341,donor_1,LPS,2000,control,0,G-CSF,0.254259855
341,donor_1,LPS,2000,control,0,GM-CSF,0.0922001377
341,donor_1,LPS,2000,control,0,IFN gamma,0.924370468
341,donor_1,LPS,2000,control,0,IL-1 RA RN,0.250041932
341,donor_1,LPS,2000,control,0,IL-1 alpha,0.484765291
341,donor_1,LPS,2000,control,0,IL-1 beta,0.922781527
341,donor_1,LPS,2000,control,0,IL-12 p40,0.545357585
341,donor_1,LPS,2000,control,0,IL-6,0.995226562
341,donor_1,LPS,2000,control,0,MMP-1,0.256938338
341,donor_1,LPS,2000,control,0,TNF RII,0.0972652584
341,donor_1,LPS,2000,control,0,TNF alpha,1.0258913
50,donor_1,LPS,2000,control,0,CCL1,0.603593588
50,donor_1,LPS,2000,control,0,CCL2,0.369962454
50,donor_1,LPS,2000,control,0,CCL22,0.271519393
50,donor_1,LPS,2000,control,0,CCL24,0.250627726
50,donor_1,LPS,2000,control,0,CCL5,0.637795091
50,donor_1,LPS,2000,control,0,CCL7,0.00170451053
50,donor_1,LPS,2000,control,0,CCL8,-0.106885031
50,donor_1,LPS,2000,control,0,CXCL1,0.624149799
50,donor_1,LPS,2000,control,0,CXCL10,-0.00624081539
50,donor_1,LPS,2000,control,0,CXCL16,0.245963499
50,donor_1,LPS,2000,control,0,G-CSF,0.258371949
50,donor_1,LPS,2000,control,0,GM-CSF,0.0845821202
50,donor_1,LPS,2000,control,0,IFN gamma,1.08431411
50,donor_1,LPS,2000,control,0,IL-1 RA RN,0.195399195
50,donor_1,LPS,2000,control,0,IL-1 alpha,0.558674753
50,donor_1,LPS,2000,control,0,IL-1 beta,0.951038778
50,donor_1,LPS,2000,control,0,IL-12 p40,0.560350657
50,donor_1,LPS,2000,control,0,IL-6,0.954715431
50,donor_1,LPS,2000,control,0,MMP-1,0.215546682
50,donor_1,LPS,2000,control,0,TNF RII,0.0861673728
50,donor_1,LPS,2000,control,0,TNF alpha,1.02497077
54,donor_1,LPS,2000,control,0,CCL1,0.409446836
54,donor_1,LPS,2000,control,0,CCL2,0.407324523
54,donor_1,LPS,2000,control,0,CCL22,0.27399233
54,donor_1,LPS,2000,control,0,CCL24,0.258252501
54,donor_1,LPS,2000,control,0,CCL5,0.660272419
54,donor_1,LPS,2000,control,0,CCL7,0.0127742598
54,donor_1,LPS,2000,control,0,CCL8,-0.077942647
54,donor_1,LPS,2000,control,0,CXCL1,0.660058677
54,donor_1,LPS,2000,control,0,CXCL10,0.0476378426
54,donor_1,LPS,2000,control,0,CXCL16,0.295853376
54,donor_1,LPS,2000,control,0,G-CSF,0.264926046
54,donor_1,LPS,2000,control,0,GM-CSF,0.0700562298
54,donor_1,LPS,2000,control,0,IFN gamma,0.914073408
54,donor_1,LPS,2000,control,0,IL-1 RA RN,0.249517024
54,donor_1,LPS,2000,control,0,IL-1 alpha,0.537607133
54,donor_1,LPS,2000,control,0,IL-1 beta,0.891558647
54,donor_1,LPS,2000,control,0,IL-12 p40,0.620022178
54,donor_1,LPS,2000,control,0,IL-6,1.02926612
54,donor_1,LPS,2000,control,0,MMP-1,0.154993683
54,donor_1,LPS,2000,control,0,TNF RII,0.110812075
54,donor_1,LPS,2000,control,0,TNF alpha,1.03192282
80,donor_1,LPS,2000,control,0,CCL1,0.654973865
80,donor_1,LPS,2000,control,0,CCL2,0.323217273
80,donor_1,LPS,2000,control,0,CCL22,0.388856769
80,donor_1,LPS,2000,control,0,CCL24,0.375667095
80,donor_1,LPS,2000,control,0,CCL5,0.684048533
80,donor_1,LPS,2000,control,0,CCL7,-0.000783127325
80,donor_1,LPS,2000,control,0,CCL8,0.0292612035
80,donor_1,LPS,2000,control,0,CXCL1,0.690952957
80,donor_1,LPS,2000,control,0,CXCL10,0.00580858812
80,donor_1,LPS,2000,control,0,CXCL16,0.268012255
80,donor_1,LPS,2000,control,0,G-CSF,0.256888479
80,donor_1,LPS,2000,control,0,GM-CSF,0.0860718265
80,donor_1,LPS,2000,control,0,IFN gamma,1.01277232
80,donor_1,LPS,2000,control,0,IL-1 RA RN,0.26984483
80,donor_1,LPS,2000,control,0,IL-1 alpha,0.51855135
80,donor_1,LPS,2000,control,0,IL-1 beta,0.931250691
