sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
3152,donor_3,LPS,2000,control,0,CCL5,0.534932494
3152,donor_3,LPS,2000,control,0,CCL7,0.0806944072
3152,donor_3,LPS,2000,control,0,CCL8,0.124930277
3152,donor_3,LPS,2000,control,0,CXCL1,0.79112643
3152,donor_3,LPS,2000,control,0,CXCL10,0.0307817534
3152,donor_3,LPS,2000,control,0,CXCL16,0.339160085
3152,donor_3,LPS,2000,control,0,G-CSF,0.261617601
3152,donor_3,LPS,2000,control,0,GM-CSF,0.103060998
3152,donor_3,LPS,2000,control,0,IFN gamma,0.696220577
3152,donor_3,LPS,2000,control,0,IL-1 RA RN,0.293579161
3152,donor_3,LPS,2000,control,0,IL-1 alpha,0.69718653
3152,donor_3,LPS,2000,control,0,IL-1 beta,1.00249994
3152,donor_3,LPS,2000,control,0,IL-12 p40,0.46476534
3152,donor_3,LPS,2000,control,0,IL-6,1.02240086
3152,donor_3,LPS,2000,control,0,MMP-1,0.648898363
3152,donor_3,LPS,2000,control,0,TNF RII,0.161353692
3152,donor_3,LPS,2000,control,0,TNF alpha,1.01915967
3173,donor_3,LPS,2000,control,0,CCL1,0.703794956
3173,donor_3,LPS,2000,control,0,CCL2,0.874067545
3173,donor_3,LPS,2000,control,0,CCL22,0.623899579
3173,donor_3,LPS,2000,control,0,CCL24,0.963260055
3173,donor_3,LPS,2000,control,0,CCL5,0.616421103
3173,donor_3,LPS,2000,control,0,CCL7,0.0894590691
3173,donor_3,LPS,2000,control,0,CCL8,-0.020885447
3173,donor_3,LPS,2000,control,0,CXCL1,0.803389728
3173,donor_3,LPS,2000,control,0,CXCL10,0.0182492733
3173,donor_3,LPS,2000,control,0,CXCL16,0.374113023
3173,donor_3,LPS,2000,control,0,G-CSF,0.294777304
3173,donor_3,LPS,2000,control,0,GM-CSF,0.109924749
3173,donor_3,LPS,2000,control,0,IFN gamma,0.419315547
3173,donor_3,LPS,2000,control,0,IL-1 RA RN,0.338999361
3173,donor_3,LPS,2000,control,0,IL-1 alpha,0.693350911
3173,donor_3,LPS,2000,control,0,IL-1 beta,1.0259912
3173,donor_3,LPS,2000,control,0,IL-12 p40,0.500878632
3173,donor_3,LPS,2000,control,0,IL-6,1.01652563
3173,donor_3,LPS,2000,control,0,MMP-1,0.64733243
3173,donor_3,LPS,2000,control,0,TNF RII,0.170071691
3173,donor_3,LPS,2000,control,0,TNF alpha,1.03872728
3199,donor_3,LPS,2000,control,0,CCL1,0.783327758
3199,donor_3,LPS,2000,control,0,CCL2,0.877990067
3199,donor_3,LPS,2000,control,0,CCL22,0.557678759
3199,donor_3,LPS,2000,control,0,CCL24,1.00911427
3199,donor_3,LPS,2000,control,0,CCL5,0.629341245
3199,donor_3,LPS,2000,control,0,CCL7,0.0907499343
3199,donor_3,LPS,2000,control,0,CCL8,0.023679411
3199,donor_3,LPS,2000,control,0,CXCL1,0.810237169
3199,donor_3,LPS,2000,control,0,CXCL10,0.0565143898
3199,donor_3,LPS,2000,control,0,CXCL16,0.37274766
3199,donor_3,LPS,2000,control,0,G-CSF,0.280647904
3199,donor_3,LPS,2000,control,0,GM-CSF,0.146514475
3199,donor_3,LPS,2000,control,0,IFN gamma,0.614313722
3199,donor_3,LPS,2000,control,0,IL-1 RA RN,0.365190953
3199,donor_3,LPS,2000,control,0,IL-1 alpha,0.783575833
3199,donor_3,LPS,2000,control,0,IL-1 beta,1.09521103
3199,donor_3,LPS,2000,control,0,IL-12 p40,0.549040496
3199,donor_3,LPS,2000,control,0,IL-6,1.06556189
3199,donor_3,LPS,2000,control,0,MMP-1,0.618562579
3199,donor_3,LPS,2000,control,0,TNF RII,0.214206144
3199,donor_3,LPS,2000,control,0,TNF alpha,1.04248273
3219,donor_3,LPS,2000,control,0,CCL1,0.736785412
3219,donor_3,LPS,2000,control,0,CCL2,0.810073495
3219,donor_3,LPS,2000,control,0,CCL22,0.685658634
3219,donor_3,LPS,2000,control,0,CCL24,0.972653329
3219,donor_3,LPS,2000,control,0,CCL5,0.588198543
3219,donor_3,LPS,2000,control,0,CCL7,0.0890690759
3219,donor_3,LPS,2000,control,0,CCL8,-0.0477513857
3219,donor_3,LPS,2000,control,0,CXCL1,0.758374333
3219,donor_3,LPS,2000,control,0,CXCL10,0.0102240341
3219,donor_3,LPS,2000,control,0,CXCL16,0.399895668
3219,donor_3,LPS,2000,control,0,G-CSF,0.244952217
3219,donor_3,LPS,2000,control,0,GM-CSF,0.114433117
3219,donor_3,LPS,2000,control,0,IFN gamma,0.464059979
3219,donor_3,LPS,2000,control,0,IL-1 RA RN,0.271530986
3219,donor_3,LPS,2000,control,0,IL-1 alpha,0.684077561
3219,donor_3,LPS,2000,control,0,IL-1 beta,1.05014861
3219,donor_3,LPS,2000,control,0,IL-12 p40,0.459121168
3219,donor_3,LPS,2000,control,0,IL-6,1.01295555
3219,donor_3,LPS,2000,control,0,MMP-1,0.568607152
3219,donor_3,LPS,2000,control,0,TNF RII,0.161350235
3219,donor_3,LPS,2000,control,0,TNF alpha,1.00811028
3224,donor_3,LPS,2000,control,0,CCL1,0.681036353
3224,donor_3,LPS,2000,control,0,CCL2,0.814155221
3224,donor_3,LPS,2000,control,0,CCL22,0.583035409
3224,donor_3,LPS,2000,control,0,CCL24,0.905045748
3224,donor_3,LPS,2000,control,0,CCL5,0.5871225
3224,donor_3,LPS,2000,control,0,CCL7,0.0333150439
3224,donor_3,LPS,2000,control,0,CCL8,-0.00940925907
3224,donor_3,LPS,2000,control,0,CXCL1,0.747495055
3224,donor_3,LPS,2000,control,0,CXCL10,0.0304996185
3224,donor_3,LPS,2000,control,0,CXCL16,0.333483785
3224,donor_3,LPS,2000,control,0,G-CSF,0.300282359
3224,donor_3,LPS,2000,control,0,GM-CSF,0.122429743
3224,donor_3,LPS,2000,control,0,IFN gamma,0.408529669
3224,donor_3,LPS,2000,control,0,IL-1 RA RN,0.278981507
3224,donor_3,LPS,2000,control,0,IL-1 alpha,0.74356997
3224,donor_3,LPS,2000,control,0,IL-1 beta,0.928877831
3224,donor_3,LPS,2000,control,0,IL-12 p40,0.471940845
3224,donor_3,LPS,2000,control,0,IL-6,0.993611217
3224,donor_3,LPS,2000,control,0,MMP-1,0.579693794
3224,donor_3,LPS,2000,control,0,TNF RII,0.160082772
3224,donor_3,LPS,2000,control,0,TNF alpha,1.02653623
3244,donor_3,LPS,2000,control,0,CCL1,0.783231795
3244,donor_3,LPS,2000,control,0,CCL2,0.805942893
3244,donor_3,LPS,2000,control,0,CCL22,0.624835253
3244,donor_3,LPS,2000,control,0,CCL24,0.967177212
3244,donor_3,LPS,2000,control,0,CCL5,0.591727257
3244,donor_3,LPS,2000,control,0,CCL7,0.103427276
3244,donor_3,LPS,2000,control,0,CCL8,0.0318202749
3244,donor_3,LPS,2000,control,0,CXCL1,0.775704145
3244,donor_3,LPS,2000,control,0,CXCL10,0.00726561388
3244,donor_3,LPS,2000,control,0,CXCL16,0.390350848
3244,donor_3,LPS,2000,control,0,G-CSF,0.245032892
3244,donor_3,LPS,2000,control,0,GM-CSF,0.138306782
3244,donor_3,LPS,2000,control,0,IFN gamma,0.397421539
3244,donor_3,LPS,2000,control,0,IL-1 RA RN,0.274690241
3244,donor_3,LPS,2000,control,0,IL-1 alpha,0.681289673
3244,donor_3,LPS,2000,control,0,IL-1 beta,0.997673452
3244,donor_3,LPS,2000,control,0,IL-12 p40,0.481164604
3244,donor_3,LPS,2000,control,0,IL-6,1.08494306
3244,donor_3,LPS,2000,control,0,MMP-1,0.619940221
3244,donor_3,LPS,2000,control,0,TNF RII,0.159878373
3244,donor_3,LPS,2000,control,0,TNF alpha,1.03504062
3269,donor_3,LPS,2000,control,0,CCL1,0.751535058
3269,donor_3,LPS,2000,control,0,CCL2,0.863903344
3269,donor_3,LPS,2000,control,0,CCL22,0.65859586
3269,donor_3,LPS,2000,control,0,CCL24,0.942089558
3269,donor_3,LPS,2000,control,0,CCL5,0.613377213
3269,donor_3,LPS,2000,control,0,CCL7,0.0556498989
3269,donor_3,LPS,2000,control,0,CCL8,0.068560563
3269,donor_3,LPS,2000,control,0,CXCL1,0.789429605
3269,donor_3,LPS,2000,control,0,CXCL10,0.00463820063
3269,donor_3,LPS,2000,control,0,CXCL16,0.362923682
3269,donor_3,LPS,2000,control,0,G-CSF,0.279741228
3269,donor_3,LPS,2000,control,0,GM-CSF,0.119650751
3269,donor_3,LPS,2000,control,0,IFN gamma,0.480869353
3269,donor_3,LPS,2000,control,0,IL-1 RA RN,0.308625877
3269,donor_3,LPS,2000,control,0,IL-1 alpha,0.716514528
3269,donor_3,LPS,2000,control,0,IL-1 beta,0.980787933
3269,donor_3,LPS,2000,control,0,IL-12 p40,0.48127678
3269,donor_3,LPS,2000,control,0,IL-6,1.04705739
3269,donor_3,LPS,2000,control,0,MMP-1,0.674782574
3269,donor_3,LPS,2000,control,0,TNF RII,0.182275578
3269,donor_3,LPS,2000,control,0,TNF alpha,1.03598249
3294,donor_3,LPS,2000,control,0,CCL1,0.71576488
3294,donor_3,LPS,2000,control,0,CCL2,0.876043856
3294,donor_3,LPS,2000,control,0,CCL22,0.527855098
3294,donor_3,LPS,2000,control,0,CCL24,0.905162156
3294,donor_3,LPS,2000,control,0,CCL5,0.591404498
3294,donor_3,LPS,2000,control,0,CCL7,0.0737768486
3294,donor_3,LPS,2000,control,0,CCL8,-0.00954476371
3294,donor_3,LPS,2000,control,0,CXCL1,0.766744733
3294,donor_3,LPS,2000,control,0,CXCL10,0.0297358837
3294,donor_3,LPS,2000,control,0,CXCL16,0.34714669
3294,donor_3,LPS,2000,control,0,G-CSF,0.281992972
3294,donor_3,LPS,2000,control,0,GM-CSF,0.131233662
3294,donor_3,LPS,2000,control,0,IFN gamma,0.553090692
3294,donor_3,LPS,2000,control,0,IL-1 RA RN,0.296736568
3294,donor_3,LPS,2000,control,0,IL-1 alpha,0.69991529
3294,donor_3,LPS,2000,control,0,IL-1 beta,0.986178994
3294,donor_3,LPS,2000,control,0,IL-12 p40,0.496516943
3294,donor_3,LPS,2000,control,0,IL-6,1.03561437
3294,donor_3,LPS,2000,control,0,MMP-1,0.612651229
3294,donor_3,LPS,2000,control,0,TNF RII,0.170086339
3294,donor_3,LPS,2000,control,0,TNF alpha,0.995158732
3314,donor_3,LPS,2000,control,0,CCL1,0.666520059
3314,donor_3,LPS,2000,control,0,CCL2,0.814489663
3314,donor_3,LPS,2000,control,0,CCL22,0.533524871
3314,donor_3,LPS,2000,control,0,CCL24,0.858663321
3314,donor_3,LPS,2000,control,0,CCL5,0.555617511
3314,donor_3,LPS,2000,control,0,CCL7,0.0667346716
3314,donor_3,LPS,2000,control,0,CCL8,0.172925785
3314,donor_3,LPS,2000,control,0,CXCL1,0.756997466
3314,donor_3,LPS,2000,control,0,CXCL10,0.000868128729
3314,donor_3,LPS,2000,control,0,CXCL16,0.340961844
3314,donor_3,LPS,2000,control,0,G-CSF,0.239659637
3314,donor_3,LPS,2000,control,0,GM-CSF,0.0817750618
3314,donor_3,LPS,2000,control,0,IFN gamma,0.595853984
3314,donor_3,LPS,2000,control,0,IL-1 RA RN,0.231273681
3314,donor_3,LPS,2000,control,0,IL-1 alpha,0.711338043
3314,donor_3,LPS,2000,control,0,IL-1 beta,0.984413803
3314,donor_3,LPS,2000,control,0,IL-12 p40,0.451828539
3314,donor_3,LPS,2000,control,0,IL-6,1.05795372
3314,donor_3,LPS,2000,control,0,MMP-1,0.534320652
3314,donor_3,LPS,2000,control,0,TNF RII,0.169856116
3314,donor_3,LPS,2000,control,0,TNF alpha,0.988895059
3319,donor_3,LPS,2000,control,0,CCL1,0.70334661
3319,donor_3,LPS,2000,control,0,CCL2,0.867470086
3319,donor_3,LPS,2000,control,0,CCL22,0.602526665
3319,donor_3,LPS,2000,control,0,CCL24,0.942164183
3319,donor_3,LPS,2000,control,0,CCL5,0.596279204
3319,donor_3,LPS,2000,control,0,CCL7,0.0763033703
3319,donor_3,LPS,2000,control,0,CCL8,0.045560997
3319,donor_3,LPS,2000,control,0,CXCL1,0.784495533
3319,donor_3,LPS,2000,control,0,CXCL10,0.0193499736
3319,donor_3,LPS,2000,control,0,CXCL16,0.377377719
3319,donor_3,LPS,2000,control,0,G-CSF,0.277996391
3319,donor_3,LPS,2000,control,0,GM-CSF,0.131284595
3319,donor_3,LPS,2000,control,0,IFN gamma,0.433649927
3319,donor_3,LPS,2000,control,0,IL-1 RA RN,0.312282711
3319,donor_3,LPS,2000,control,0,IL-1 alpha,0.716507137
3319,donor_3,LPS,2000,control,0,IL-1 beta,1.0243938
3319,donor_3,LPS,2000,control,0,IL-12 p40,0.487017065
3319,donor_3,LPS,2000,control,0,IL-6,0.981568933
3319,donor_3,LPS,2000,control,0,MMP-1,0.613895178
3319,donor_3,LPS,2000,control,0,TNF RII,0.175806418
3319,donor_3,LPS,2000,control,0,TNF alpha,1.02289832
3342,donor_3,LPS,2000,control,0,CCL1,0.775231481
3342,donor_3,LPS,2000,control,0,CCL2,0.820552886
3342,donor_3,LPS,2000,control,0,CCL22,0.658892453
3342,donor_3,LPS,2000,control,0,CCL24,0.967574894
3342,donor_3,LPS,2000,control,0,CCL5,0.612731755
3342,donor_3,LPS,2000,control,0,CCL7,0.0752647966
3342,donor_3,LPS,2000,control,0,CCL8,-0.0526496023
3342,donor_3,LPS,2000,control,0,CXCL1,0.790180147
3342,donor_3,LPS,2000,control,0,CXCL10,0.0505578183
3342,donor_3,LPS,2000,control,0,CXCL16,0.3859649
3342,donor_3,LPS,2000,control,0,G-CSF,0.245026588
3342,donor_3,LPS,2000,control,0,GM-CSF,0.108549438
3342,donor_3,LPS,2000,control,0,IFN gamma,0.423639268
3342,donor_3,LPS,2000,control,0,IL-1 RA RN,0.282776713
3342,donor_3,LPS,2000,control,0,IL-1 alpha,0.752869725
3342,donor_3,LPS,2000,control,0,IL-1 beta,1.01803946
3342,donor_3,LPS,2000,control,0,IL-12 p40,0.410788298
3342,donor_3,LPS,2000,control,0,IL-6,1.11046886
3342,donor_3,LPS,2000,control,0,MMP-1,0.58792311
3342,donor_3,LPS,2000,control,0,TNF RII,0.170917556
3342,donor_3,LPS,2000,control,0,TNF alpha,1.03318143
3388,donor_3,LPS,2000,control,0,CCL1,0.815594137
3388,donor_3,LPS,2000,control,0,CCL2,0.816385448
3388,donor_3,LPS,2000,control,0,CCL22,0.624142587
3388,donor_3,LPS,2000,control,0,CCL24,0.959818006
3388,donor_3,LPS,2000,control,0,CCL5,0.592918634
3388,donor_3,LPS,2000,control,0,CCL7,0.111312129
3388,donor_3,LPS,2000,control,0,CCL8,-0.0686670989
3388,donor_3,LPS,2000,control,0,CXCL1,0.761425734
3388,donor_3,LPS,2000,control,0,CXCL10,0.0520885251
3388,donor_3,LPS,2000,control,0,CXCL16,0.397688717
3388,donor_3,LPS,2000,control,0,G-CSF,0.2224814
3388,donor_3,LPS,2000,control,0,GM-CSF,0.122296214
3388,donor_3,LPS,2000,control,0,IFN gamma,0.35523355
3388,donor_3,LPS,2000,control,0,IL-1 RA RN,0.26500079
3388,donor_3,LPS,2000,control,0,IL-1 alpha,0.711835504
3388,donor_3,LPS,2000,control,0,IL-1 beta,1.00697446
3388,donor_3,LPS,2000,control,0,IL-12 p40,0.411314875
3388,donor_3,LPS,2000,control,0,IL-6,0.996808469
3388,donor_3,LPS,2000,control,0,MMP-1,0.588417351
3388,donor_3,LPS,2000,control,0,TNF RII,0.15997006
3388,donor_3,LPS,2000,control,0,TNF alpha,1.01574874
3392,donor_3,LPS,2000,control,0,CCL1,0.7571311
3392,donor_3,LPS,2000,control,0,CCL2,0.852200449
3392,donor_3,LPS,2000,control,0,CCL22,0.544630051
3392,donor_3,LPS,2000,control,0,CCL24,0.896404147
3392,donor_3,LPS,2000,control,0,CCL5,0.496926606
3392,donor_3,LPS,2000,control,0,CCL7,0.0678203404
3392,donor_3,LPS,2000,control,0,CCL8,0.154592142
3392,donor_3,LPS,2000,control,0,CXCL1,0.775980234
3392,donor_3,LPS,2000,control,0,CXCL10,0.00227598613
3392,donor_3,LPS,2000,control,0,CXCL16,0.315997392
3392,donor_3,LPS,2000,control,0,G-CSF,0.234976918
3392,donor_3,LPS,2000,control,0,GM-CSF,0.102324203
3392,donor_3,LPS,2000,control,0,IFN gamma,0.369288057
3392,donor_3,LPS,2000,control,0,IL-1 RA RN,0.247107998
3392,donor_3,LPS,2000,control,0,IL-1 alpha,0.685090959
3392,donor_3,LPS,2000,control,0,IL-1 beta,1.02746856
3392,donor_3,LPS,2000,control,0,IL-12 p40,0.387291968
3392,donor_3,LPS,2000,control,0,IL-6,1.05311549
3392,donor_3,LPS,2000,control,0,MMP-1,0.606769562
3392,donor_3,LPS,2000,control,0,TNF RII,0.145346314
3392,donor_3,LPS,2000,control,0,TNF alpha,1.00863731
3411,donor_3,LPS,2000,control,0,CCL1,0.849329054
3411,donor_3,LPS,2000,control,0,CCL2,0.834047973
3411,donor_3,LPS,2000,control,0,CCL22,0.661034822
3411,donor_3,LPS,2000,control,0,CCL24,0.979762137
3411,donor_3,LPS,2000,control,0,CCL5,0.564965844
3411,donor_3,LPS,2000,control,0,CCL7,0.0637862086
3411,donor_3,LPS,2000,control,0,CCL8,-0.0621567927
3411,donor_3,LPS,2000,control,0,CXCL1,0.816450298
3411,donor_3,LPS,2000,control,0,CXCL10,0.0385648049
3411,donor_3,LPS,2000,control,0,CXCL16,0.402397573
3411,donor_3,LPS,2000,control,0,G-CSF,0.218151808
3411,donor_3,LPS,2000,control,0,GM-CSF,0.115333743
3411,donor_3,LPS,2000,control,0,IFN gamma,0.414272398
3411,donor_3,LPS,2000,control,0,IL-1 RA RN,0.248365209
3411,donor_3,LPS,2000,control,0,IL-1 alpha,0.708242118
3411,donor_3,LPS,2000,control,0,IL-1 beta,1.0637579
3411,donor_3,LPS,2000,control,0,IL-12 p40,0.534596086
3411,donor_3,LPS,2000,control,0,IL-6,1.02786553
3411,donor_3,LPS,2000,control,0,MMP-1,0.661371052
3411,donor_3,LPS,2000,control,0,TNF RII,0.203767851
3411,donor_3,LPS,2000,control,0,TNF alpha,1.02678072
3413,donor_3,LPS,2000,control,0,CCL1,0.729112029
3413,donor_3,LPS,2000,control,0,CCL2,0.904210389
3413,donor_3,LPS,2000,control,0,CCL22,0.480069399
3413,donor_3,LPS,2000,control,0,CCL24,0.898102939
3413,donor_3,LPS,2000,control,0,CCL5,0.483446419
3413,donor_3,LPS,2000,control,0,CCL7,0.0653570965
3413,donor_3,LPS,2000,control,0,CCL8,0.0134738572
3413,donor_3,LPS,2000,control,0,CXCL1,0.811689198
3413,donor_3,LPS,2000,control,0,CXCL10,0.0161422528
3413,donor_3,LPS,2000,control,0,CXCL16,0.362265795
3413,donor_3,LPS,2000,control,0,G-CSF,0.291901112
3413,donor_3,LPS,2000,control,0,GM-CSF,0.131005526
3413,donor_3,LPS,2000,control,0,IFN gamma,0.744742095
3413,donor_3,LPS,2000,control,0,IL-1 RA RN,0.320398867
3413,donor_3,LPS,2000,control,0,IL-1 alpha,0.754437089
3413,donor_3,LPS,2000,control,0,IL-1 beta,1.11780107
3413,donor_3,LPS,2000,control,0,IL-12 p40,0.496121198
3413,donor_3,LPS,2000,control,0,IL-6,1.07817471
3413,donor_3,LPS,2000,control,0,MMP-1,0.714091241
3413,donor_3,LPS,2000,control,0,TNF RII,0.200919718
3413,donor_3,LPS,2000,control,0,TNF alpha,1.05264473
4874,donor_4,LPS,2000,IL-10,50,CCL1,0.000360474223
4874,donor_4,LPS,2000,IL-10,50,CCL2,1.1218102
4874,donor_4,LPS,2000,IL-10,50,CCL22,0.0129518406
4874,donor_4,LPS,2000,IL-10,50,CCL24,0.123586744
4874,donor_4,LPS,2000,IL-10,50,CCL5,0.448057145
4874,donor_4,LPS,2000,IL-10,50,CCL7,0.10008692
4874,donor_4,LPS,2000,IL-10,50,CCL8,-0.0929908305
4874,donor_4,LPS,2000,IL-10,50,CXCL1,0.797521532
4874,donor_4,LPS,2000,IL-10,50,CXCL10,-0.0454123579
4874,donor_4,LPS,2000,IL-10,50,CXCL16,0.616695225
4874,donor_4,LPS,2000,IL-10,50,G-CSF,-0.0215012841
4874,donor_4,LPS,2000,IL-10,50,GM-CSF,-0.0103421938
4874,donor_4,LPS,2000,IL-10,50,IFN gamma,-0.0527237728
4874,donor_4,LPS,2000,IL-10,50,IL-1 RA RN,0.501120746
4874,donor_4,LPS,2000,IL-10,50,IL-1 alpha,-0.0317202099
4874,donor_4,LPS,2000,IL-10,50,IL-1 beta,0.266405463
4874,donor_4,LPS,2000,IL-10,50,IL-12 p40,-0.0276833791
4874,donor_4,LPS,2000,IL-10,50,IL-6,0.640384614
4874,donor_4,LPS,2000,IL-10,50,MMP-1,0.153009087
4874,donor_4,LPS,2000,IL-10,50,TNF RII,0.481866091
4874,donor_4,LPS,2000,IL-10,50,TNF alpha,0.12715964
4636,donor_4,LPS,2000,control,0,CCL1,0.566552222
4636,donor_4,LPS,2000,control,0,CCL2,0.945669115
4636,donor_4,LPS,2000,control,0,CCL22,0.60903573
4636,donor_4,LPS,2000,control,0,CCL24,0.580725074
4636,donor_4,LPS,2000,control,0,CCL5,0.727204025
4636,donor_4,LPS,2000,control,0,CCL7,0.0443486571
4636,donor_4,LPS,2000,control,0,CCL8,0.0263234042
4636,donor_4,LPS,2000,control,0,CXCL1,0.862581313
4636,donor_4,LPS,2000,control,0,CXCL10,0.0169806387
4636,donor_4,LPS,2000,control,0,CXCL16,0.356527627
4636,donor_4,LPS,2000,control,0,G-CSF,0.364186198
4636,donor_4,LPS,2000,control,0,GM-CSF,0.0764089376
4636,donor_4,LPS,2000,control,0,IFN gamma,0.314900041
4636,donor_4,LPS,2000,control,0,IL-1 RA RN,0.358875513
4636,donor_4,LPS,2000,control,0,IL-1 alpha,0.524506271
4636,donor_4,LPS,2000,control,0,IL-1 beta,1.03622139
4636,donor_4,LPS,2000,control,0,IL-12 p40,0.384582132
4636,donor_4,LPS,2000,control,0,IL-6,1.04966879
4636,donor_4,LPS,2000,control,0,MMP-1,0.108673044
4636,donor_4,LPS,2000,control,0,TNF RII,0.277404815
4636,donor_4,LPS,2000,control,0,TNF alpha,0.951142788
4658,donor_4,LPS,2000,control,0,CCL1,0.502856493
4658,donor_4,LPS,2000,control,0,CCL2,0.985073268
4658,donor_4,LPS,2000,control,0,CCL22,0.640856922
4658,donor_4,LPS,2000,control,0,CCL24,0.553729832
4658,donor_4,LPS,2000,control,0,CCL5,0.667475224
4658,donor_4,LPS,2000,control,0,CCL7,0.0408887155
4658,donor_4,LPS,2000,control,0,CCL8,0.0461766571
4658,donor_4,LPS,2000,control,0,CXCL1,0.834887683
4658,donor_4,LPS,2000,control,0,CXCL10,-0.0115592564
4658,donor_4,LPS,2000,control,0,CXCL16,0.396558821
4658,donor_4,LPS,2000,control,0,G-CSF,0.331119388
4658,donor_4,LPS,2000,control,0,GM-CSF,0.0829754025
4658,donor_4,LPS,2000,control,0,IFN gamma,0.349854201
4658,donor_4,LPS,2000,control,0,IL-1 RA RN,0.302512795
4658,donor_4,LPS,2000,control,0,IL-1 alpha,0.611097097
4658,donor_4,LPS,2000,control,0,IL-1 beta,1.04233515
4658,donor_4,LPS,2000,control,0,IL-12 p40,0.45686847
4658,donor_4,LPS,2000,control,0,IL-6,1.06679845
4658,donor_4,LPS,2000,control,0,MMP-1,0.0664106756
4658,donor_4,LPS,2000,control,0,TNF RII,0.293845922
4658,donor_4,LPS,2000,control,0,TNF alpha,0.968666494
4662,donor_4,LPS,2000,control,0,CCL1,0.484468549
4662,donor_4,LPS,2000,control,0,CCL2,0.939519405
4662,donor_4,LPS,2000,control,0,CCL22,0.658063233
4662,donor_4,LPS,2000,control,0,CCL24,0.530866146
4662,donor_4,LPS,2000,control,0,CCL5,0.669319212
4662,donor_4,LPS,2000,control,0,CCL7,0.0222201198
4662,donor_4,LPS,2000,control,0,CCL8,0.0738881379
4662,donor_4,LPS,2000,control,0,CXCL1,0.806500852
4662,donor_4,LPS,2000,control,0,CXCL10,0.0147766154
4662,donor_4,LPS,2000,control,0,CXCL16,0.34985289
4662,donor_4,LPS,2000,control,0,G-CSF,0.310610235
4662,donor_4,LPS,2000,control,0,GM-CSF,0.0818499923
4662,donor_4,LPS,2000,control,0,IFN gamma,0.426193535
4662,donor_4,LPS,2000,control,0,IL-1 RA RN,0.265819401
4662,donor_4,LPS,2000,control,0,IL-1 alpha,0.5569188
4662,donor_4,LPS,2000,control,0,IL-1 beta,0.981365025
4662,donor_4,LPS,2000,control,0,IL-12 p40,0.399009049
4662,donor_4,LPS,2000,control,0,IL-6,0.979429066
4662,donor_4,LPS,2000,control,0,MMP-1,0.0855050087
4662,donor_4,LPS,2000,control,0,TNF RII,0.258567572
4662,donor_4,LPS,2000,control,0,TNF alpha,0.950113416
4688,donor_4,LPS,2000,control,0,CCL1,0.39786312
4688,donor_4,LPS,2000,control,0,CCL2,1.00542426
4688,donor_4,LPS,2000,control,0,CCL22,0.694040656
4688,donor_4,LPS,2000,control,0,CCL24,0.550603151
4688,donor_4,LPS,2000,control,0,CCL5,0.724717736
4688,donor_4,LPS,2000,control,0,CCL7,0.0352760255
4688,donor_4,LPS,2000,control,0,CCL8,-0.125396252
4688,donor_4,LPS,2000,control,0,CXCL1,0.856467187
4688,donor_4,LPS,2000,control,0,CXCL10,0.0162831675
4688,donor_4,LPS,2000,control,0,CXCL16,0.407770902
4688,donor_4,LPS,2000,control,0,G-CSF,0.407498956
4688,donor_4,LPS,2000,control,0,GM-CSF,0.0877627954
4688,donor_4,LPS,2000,control,0,IFN gamma,0.580331981
4688,donor_4,LPS,2000,control,0,IL-1 RA RN,0.357005835
4688,donor_4,LPS,2000,control,0,IL-1 alpha,0.612659812
4688,donor_4,LPS,2000,control,0,IL-1 beta,1.04042852
4688,donor_4,LPS,2000,control,0,IL-12 p40,0.437548935
4688,donor_4,LPS,2000,control,0,IL-6,1.02463877
4688,donor_4,LPS,2000,control,0,MMP-1,0.0843776911
4688,donor_4,LPS,2000,control,0,TNF RII,0.303281009
4688,donor_4,LPS,2000,control,0,TNF alpha,0.971649289
4709,donor_4,LPS,2000,control,0,CCL1,0.543632269
4709,donor_4,LPS,2000,control,0,CCL2,0.976844132
4709,donor_4,LPS,2000,control,0,CCL22,0.76392138
4709,donor_4,LPS,2000,control,0,CCL24,0.613246202
4709,donor_4,LPS,2000,control,0,CCL5,0.692600191
4709,donor_4,LPS,2000,control,0,CCL7,0.0307346825
4709,donor_4,LPS,2000,control,0,CCL8,-0.281639695
4709,donor_4,LPS,2000,control,0,CXCL1,0.865951002
4709,donor_4,LPS,2000,control,0,CXCL10,-0.00699241739
4709,donor_4,LPS,2000,control,0,CXCL16,0.372345537
4709,donor_4,LPS,2000,control,0,G-CSF,0.374210268
4709,donor_4,LPS,2000,control,0,GM-CSF,0.100146197
4709,donor_4,LPS,2000,control,0,IFN gamma,0.35975951
4709,donor_4,LPS,2000,control,0,IL-1 RA RN,0.366153359
4709,donor_4,LPS,2000,control,0,IL-1 alpha,0.613364398
4709,donor_4,LPS,2000,control,0,IL-1 beta,1.10349262
4709,donor_4,LPS,2000,control,0,IL-12 p40,0.468861014
4709,donor_4,LPS,2000,control,0,IL-6,1.04988027
4709,donor_4,LPS,2000,control,0,MMP-1,0.122954592
4709,donor_4,LPS,2000,control,0,TNF RII,0.326924741
4709,donor_4,LPS,2000,control,0,TNF alpha,1.01863503
4735,donor_4,LPS,2000,control,0,CCL1,0.532840669
4735,donor_4,LPS,2000,control,0,CCL2,0.969404817
4735,donor_4,LPS,2000,control,0,CCL22,0.741404414
4735,donor_4,LPS,2000,control,0,CCL24,0.571301043
